X,Y,OBJECTID,ID,MONTH,CRIME_CATEGORY,LOCATION_TYPE,LOCATION_SUBTYPE,LONGITUDE,LATITUDE,STREET_ID,STREET_NAME,OUTCOME_CATEGORY,OUTCOME_DATE
362845.08,176146.2007,5230,120047427,2024-07,violent-crime,Force,,-2.536455,51.483039,2282212,On or near The Berries,Under investigation,2024-07
359788.0399,169992.1647,5231,120047430,2024-07,violent-crime,Force,,-2.579775,51.427498,2279648,On or near Bodmin Walk,Unable to prosecute suspect,2024-07
362084.0855,176132.1438,5232,120047435,2024-07,violent-crime,Force,,-2.547412,51.482862,2281659,On or near Cromwells Hide,Unable to prosecute suspect,2024-07
358929.2092,170312.1141,5233,120046877,2024-07,violent-crime,Force,,-2.592166,51.430313,2278883,On or near Cavan Walk,Under investigation,2024-07
351731.2988,178000.1888,5234,120047098,2024-07,violent-crime,Force,,-2.696749,51.498866,2274500,On or near Green Lane,Under investigation,2024-07
360288.0881,177861.152899999,5235,120047328,2024-07,violent-crime,Force,,-2.573470,51.498284,2280089,On or near Thackeray,Under investigation,2024-07
358872.107,174894.0922,5236,120047332,2024-07,violent-crime,Force,,-2.593521,51.471506,2278813,On or near Elton Lane,Under investigation,2024-07
363910.0881,175691.1863,5237,120047340,2024-07,violent-crime,Force,,-2.521072,51.479017,2283113,On or near Idstone Road,Unable to prosecute suspect,2024-07
358838.1314,173431.1884,5238,120047349,2024-07,violent-crime,Force,,-2.593839,51.458350,2278796,On or near Lower Maudlin Street,Under investigation,2024-07
357500.1531,171862.266799999,5239,120047344,2024-07,violent-crime,Force,,-2.612907,51.444144,2277513,On or near Greenway Bush Lane,Unable to prosecute suspect,2024-07
363465.0249,172880.1876,5240,120047364,2024-07,violent-crime,Force,,-2.527188,51.453714,2282766,On or near Rossiter's Lane,Under investigation,2024-07
363141.062,176330.113299999,5241,120047379,2024-07,violent-crime,Force,,-2.532212,51.484712,2282471,On or near College Court,Under investigation,2024-07
363141.062,176330.113299999,5242,120047380,2024-07,violent-crime,Force,,-2.532212,51.484712,2282471,On or near College Court,Under investigation,2024-07
359873.1086,173016.1623,5243,120047403,2024-07,violent-crime,Force,,-2.578896,51.454693,2279750,On or near Horton Street,Under investigation,2024-07
359219.0716,174000.100299999,5244,120047384,2024-07,violent-crime,Force,,-2.588422,51.463493,2279078,On or near Hepburn Road,Under investigation,2024-07
359760.1007,172855.1259,5245,120047385,2024-07,violent-crime,Force,,-2.580504,51.453237,2279601,On or near Parking Area,Under investigation,2024-07
358017.1109,178577.157400001,5246,120047390,2024-07,violent-crime,Force,,-2.606269,51.504557,2277861,On or near Embleton Road,Under investigation,2024-07
358070.1865,171713.2541,5247,120047404,2024-07,violent-crime,Force,,-2.604688,51.442847,2278018,On or near Milford Street,Under investigation,2024-07
356410.1512,179314.120300001,5248,120047411,2024-07,violent-crime,Force,,-2.629512,51.511061,2276558,On or near Station Road,Under investigation,2024-07
361167.0806,174093.1361,5249,120047412,2024-07,violent-crime,Force,,-2.560392,51.464467,2280787,On or near Bloy Street,Under investigation,2024-07
359104.1043,172247.236099999,5250,120047413,2024-07,violent-crime,Force,,-2.589874,51.447724,2278976,On or near Colston Parade,Under investigation,2024-07
359467.2059,171115.1653,5251,120047416,2024-07,violent-crime,Force,,-2.584520,51.437572,2279361,On or near Park Avenue,Action to be taken by another organisation,2024-07
359474.134,173812.097100001,5252,120046095,2024-07,violent-crime,Force,,-2.584729,51.461821,2279349,On or near Bishop Street,Under investigation,2024-07
363417.0702,176019.146400001,5253,120047140,2024-07,violent-crime,Force,,-2.528205,51.481934,2282716,On or near Victoria Park,Under investigation,2024-07
357731.1318,168839.17,5254,120047148,2024-07,violent-crime,Force,,-2.609222,51.416981,2277693,On or near Headley Court,Unable to prosecute suspect,2024-07
360205.0094,169811.1603,5255,120047150,2024-07,violent-crime,Force,,-2.573757,51.425900,2279934,On or near Chilton Road,Under investigation,2024-07
362049.0401,168285.207599999,5256,120047151,2024-07,violent-crime,Force,,-2.547072,51.412306,2281680,On or near Supermarket,Under investigation,2024-07
363070.0295,175463.2247,5257,120046836,2024-07,violent-crime,Force,,-2.533144,51.476913,2282491,On or near Justice Road,Under investigation,2024-07
359303.0687,169857.1041,5258,120046841,2024-07,violent-crime,Force,,-2.586735,51.426249,2279228,On or near Connaught Road,Under investigation,2024-07
